review_id,product,order_status,review_text,sentiment
ORD200025,Monitor,Delivered,"Absolutely love this monitor, works perfectly and arrived on time.",Positive
ORD200026,Laptop,Delivered,"Terrible experience, the laptop stopped working within a week.",Negative
ORD200027,Printer,Shipped,"Fast delivery and the printer feels premium, very satisfied.",Positive
ORD200028,Phone,Pending,"Awful build quality, would not recommend this phone to anyone.",Negative
ORD200029,Desk,Delivered,"Great value for money, the desk works flawlessly.",Positive
ORD200030,Monitor,Pending,"Super happy with my monitor purchase, no complaints so far.",Positive
ORD200031,Chair,Returned,"Terrible experience, the chair stopped working within a week.",Negative
ORD200032,Tablet,Delivered,"Excellent tablet, would definitely buy again. Highly recommend!",Positive
ORD200033,Chair,Cancelled,"The chair is not what I expected, poor quality overall.",Negative
ORD200034,Chair,Pending,I was worried at first but the chair turned out to be really good.,Positive
ORD200035,Monitor,Shipped,"Best monitor I have bought this year, five stars.",Positive
ORD200036,Laptop,Pending,"Great value for money, the laptop works flawlessly.",Positive
ORD200037,Laptop,Returned,"The laptop was not good, arrived damaged and support was unhelpful.",Negative
ORD200038,Laptop,Delivered,"The laptop exceeded my expectations, great quality and fast shipping!",Positive
ORD200039,Printer,Delivered,I was worried at first but the printer turned out to be really good.,Positive
ORD200040,Desk,Delivered,"This desk is not bad at all, actually pretty amazing for the price.",Positive
ORD200041,Monitor,Pending,"Regret buying this monitor, customer service was no help either.",Negative
ORD200042,Printer,Cancelled,"Awful build quality, would not recommend this printer to anyone.",Negative
ORD200043,Chair,Cancelled,Shipping took forever and the chair was not even functional.,Negative
ORD200044,Phone,Returned,Shipping took forever and the phone was not even functional.,Negative
ORD200045,Chair,Returned,"I am not happy with this chair, complete waste of money.",Negative
ORD200046,Monitor,Pending,"Best monitor I have bought this year, five stars.",Positive
ORD200047,Desk,Returned,"Regret buying this desk, customer service was no help either.",Negative
ORD200048,Monitor,Shipped,The monitor is not expensive but it does not feel cheap either. Loved it.,Positive
ORD200049,Printer,Shipped,"This printer is not bad at all, actually pretty amazing for the price.",Positive
ORD200050,Tablet,Cancelled,"I am not happy with this tablet, complete waste of money.",Negative
ORD200051,Tablet,Returned,"Terrible experience, the tablet stopped working within a week.",Negative
ORD200052,Tablet,Returned,"Terrible experience, the tablet stopped working within a week.",Negative
ORD200053,Phone,Returned,"I am not happy with this phone, complete waste of money.",Negative
ORD200054,Chair,Pending,The chair never worked properly from day one.,Negative
ORD200055,Printer,Cancelled,The printer never worked properly from day one.,Negative
ORD200056,Tablet,Cancelled,Shipping took forever and the tablet was not even functional.,Negative
ORD200057,Printer,Returned,"This printer is not worth the price, very disappointing.",Negative
ORD200058,Phone,Cancelled,"The phone was not good, arrived damaged and support was unhelpful.",Negative
ORD200059,Chair,Shipped,"Absolutely love this chair, works perfectly and arrived on time.",Positive
ORD200060,Desk,Returned,"This desk is not worth the price, very disappointing.",Negative
ORD200061,Desk,Delivered,"Great value for money, the desk works flawlessly.",Positive
ORD200062,Desk,Pending,I was worried at first but the desk turned out to be really good.,Positive
ORD200063,Chair,Shipped,"The chair exceeded my expectations, great quality and fast shipping!",Positive
ORD200064,Printer,Cancelled,"Disappointed with the printer, had to return it immediately.",Negative
ORD200065,Monitor,Delivered,"I am not happy with this monitor, complete waste of money.",Negative
ORD200066,Chair,Cancelled,"Terrible experience, the chair stopped working within a week.",Negative
ORD200067,Printer,Cancelled,"Disappointed with the printer, had to return it immediately.",Negative
ORD200068,Chair,Pending,"This chair is not worth the price, very disappointing.",Negative
ORD200069,Monitor,Shipped,"Excellent monitor, would definitely buy again. Highly recommend!",Positive
ORD200070,Desk,Pending,"Excellent desk, would definitely buy again. Highly recommend!",Positive
ORD200071,Monitor,Pending,"This monitor is not worth the price, very disappointing.",Negative
ORD200072,Tablet,Returned,"Regret buying this tablet, customer service was no help either.",Negative
ORD200073,Monitor,Cancelled,"The monitor was not good, arrived damaged and support was unhelpful.",Negative
ORD200074,Phone,Pending,"Great value for money, the phone works flawlessly.",Positive
ORD200075,Tablet,Delivered,"Disappointed with the tablet, had to return it immediately.",Negative
ORD200076,Laptop,Cancelled,"The laptop is not what I expected, poor quality overall.",Negative
ORD200077,Phone,Returned,"Terrible experience, the phone stopped working within a week.",Negative
ORD200078,Printer,Delivered,"Fast delivery and the printer feels premium, very satisfied.",Positive
ORD200079,Tablet,Shipped,"This tablet is not worth the price, very disappointing.",Negative
ORD200080,Phone,Returned,"I am not happy with this phone, complete waste of money.",Negative
ORD200081,Monitor,Shipped,"Best monitor I have bought this year, five stars.",Positive
ORD200082,Tablet,Shipped,"Best tablet I have bought this year, five stars.",Positive
ORD200083,Laptop,Cancelled,The laptop never worked properly from day one.,Negative
ORD200084,Monitor,Shipped,"This monitor is not worth the price, very disappointing.",Negative
ORD200085,Tablet,Delivered,"This tablet is not bad at all, actually pretty amazing for the price.",Positive
ORD200086,Printer,Cancelled,The printer never worked properly from day one.,Negative
ORD200087,Tablet,Shipped,"Awful build quality, would not recommend this tablet to anyone.",Negative
ORD200088,Desk,Cancelled,"This desk is not worth the price, very disappointing.",Negative
ORD200089,Printer,Cancelled,"The printer is not what I expected, poor quality overall.",Negative
ORD200090,Chair,Delivered,"Great value for money, the chair works flawlessly.",Positive
ORD200091,Laptop,Shipped,"Best laptop I have bought this year, five stars.",Positive
ORD200092,Printer,Shipped,"This printer is not bad at all, actually pretty amazing for the price.",Positive
ORD200093,Desk,Returned,"The desk exceeded my expectations, great quality and fast shipping!",Positive
ORD200094,Chair,Returned,"The chair was not good, arrived damaged and support was unhelpful.",Negative
ORD200095,Printer,Returned,"Terrible experience, the printer stopped working within a week.",Negative
ORD200096,Phone,Delivered,"Super happy with my phone purchase, no complaints so far.",Positive
ORD200097,Tablet,Pending,"The tablet is not what I expected, poor quality overall.",Negative
ORD200098,Printer,Pending,"Regret buying this printer, customer service was no help either.",Negative
ORD200099,Printer,Cancelled,"The printer is not what I expected, poor quality overall.",Negative
ORD200100,Phone,Delivered,I was worried at first but the phone turned out to be really good.,Positive
ORD200101,Printer,Shipped,"Absolutely love this printer, works perfectly and arrived on time.",Positive
ORD200102,Laptop,Cancelled,"Awful build quality, would not recommend this laptop to anyone.",Negative
ORD200103,Phone,Cancelled,Shipping took forever and the phone was not even functional.,Negative
ORD200104,Phone,Delivered,"The phone was not good, arrived damaged and support was unhelpful.",Negative
ORD200105,Printer,Cancelled,"Terrible experience, the printer stopped working within a week.",Negative
ORD200106,Desk,Cancelled,"Awful build quality, would not recommend this desk to anyone.",Negative
ORD200107,Printer,Shipped,"Terrible experience, the printer stopped working within a week.",Negative
ORD200108,Laptop,Delivered,"This laptop is not bad at all, actually pretty amazing for the price.",Positive
ORD200109,Desk,Shipped,"Excellent desk, would definitely buy again. Highly recommend!",Positive
ORD200110,Tablet,Pending,"Super happy with my tablet purchase, no complaints so far.",Positive
ORD200111,Desk,Cancelled,"Terrible experience, the desk stopped working within a week.",Negative
ORD200112,Monitor,Cancelled,"This monitor is not worth the price, very disappointing.",Negative
ORD200113,Laptop,Shipped,"Best laptop I have bought this year, five stars.",Positive
ORD200114,Monitor,Pending,"Terrible experience, the monitor stopped working within a week.",Negative
ORD200115,Phone,Shipped,"The phone is not what I expected, poor quality overall.",Negative
ORD200116,Printer,Cancelled,Shipping took forever and the printer was not even functional.,Negative
ORD200117,Tablet,Cancelled,The tablet never worked properly from day one.,Negative
ORD200118,Printer,Shipped,"I am not happy with this printer, complete waste of money.",Negative
ORD200119,Desk,Shipped,I was worried at first but the desk turned out to be really good.,Positive
ORD200120,Tablet,Cancelled,Shipping took forever and the tablet was not even functional.,Negative
ORD200121,Desk,Cancelled,"This desk is not worth the price, very disappointing.",Negative
ORD200122,Laptop,Shipped,"Fast delivery and the laptop feels premium, very satisfied.",Positive
ORD200123,Desk,Delivered,"Super happy with my desk purchase, no complaints so far.",Positive
ORD200124,Printer,Pending,"The printer exceeded my expectations, great quality and fast shipping!",Positive
ORD200125,Phone,Shipped,"Best phone I have bought this year, five stars.",Positive
ORD200126,Desk,Shipped,"Great value for money, the desk works flawlessly.",Positive
ORD200127,Desk,Shipped,The desk is not expensive but it does not feel cheap either. Loved it.,Positive
ORD200128,Tablet,Delivered,"Best tablet I have bought this year, five stars.",Positive
ORD200129,Laptop,Shipped,"Best laptop I have bought this year, five stars.",Positive
ORD200130,Desk,Cancelled,"I am not happy with this desk, complete waste of money.",Negative
ORD200131,Tablet,Pending,"Absolutely love this tablet, works perfectly and arrived on time.",Positive
ORD200132,Tablet,Shipped,"This tablet is not bad at all, actually pretty amazing for the price.",Positive
ORD200133,Chair,Cancelled,"Regret buying this chair, customer service was no help either.",Negative
ORD200134,Laptop,Pending,The laptop is not expensive but it does not feel cheap either. Loved it.,Positive
ORD200135,Printer,Shipped,"Absolutely love this printer, works perfectly and arrived on time.",Positive
ORD200136,Laptop,Cancelled,"Regret buying this laptop, customer service was no help either.",Negative
ORD200137,Monitor,Delivered,"Great value for money, the monitor works flawlessly.",Positive
ORD200138,Tablet,Pending,"The tablet is not what I expected, poor quality overall.",Negative
ORD200139,Phone,Returned,"Awful build quality, would not recommend this phone to anyone.",Negative
ORD200140,Chair,Delivered,I was worried at first but the chair turned out to be really good.,Positive
ORD200141,Printer,Cancelled,"Disappointed with the printer, had to return it immediately.",Negative
ORD200142,Desk,Pending,"Absolutely love this desk, works perfectly and arrived on time.",Positive
ORD200143,Chair,Shipped,The chair is not expensive but it does not feel cheap either. Loved it.,Positive
ORD200144,Desk,Pending,"Terrible experience, the desk stopped working within a week.",Negative
ORD200145,Printer,Delivered,"This printer is not bad at all, actually pretty amazing for the price.",Positive
ORD200146,Tablet,Returned,"I am not happy with this tablet, complete waste of money.",Negative
ORD200147,Laptop,Cancelled,"Terrible experience, the laptop stopped working within a week.",Negative
ORD200148,Phone,Cancelled,"Awful build quality, would not recommend this phone to anyone.",Negative
ORD200149,Laptop,Delivered,"Fast delivery and the laptop feels premium, very satisfied.",Positive
ORD200150,Phone,Returned,"Disappointed with the phone, had to return it immediately.",Negative
ORD200151,Printer,Returned,"This printer is not worth the price, very disappointing.",Negative
ORD200152,Chair,Cancelled,"Best chair I have bought this year, five stars.",Positive
ORD200153,Chair,Returned,"Terrible experience, the chair stopped working within a week.",Negative
ORD200154,Phone,Pending,"I am not happy with this phone, complete waste of money.",Negative
ORD200155,Phone,Shipped,"Absolutely love this phone, works perfectly and arrived on time.",Positive
ORD200156,Chair,Delivered,"Excellent chair, would definitely buy again. Highly recommend!",Positive
ORD200157,Monitor,Returned,"Regret buying this monitor, customer service was no help either.",Negative
ORD200158,Tablet,Pending,"Great value for money, the tablet works flawlessly.",Positive
ORD200159,Printer,Cancelled,"Disappointed with the printer, had to return it immediately.",Negative
ORD200160,Monitor,Pending,"Disappointed with the monitor, had to return it immediately.",Negative
ORD200161,Monitor,Cancelled,"The monitor was not good, arrived damaged and support was unhelpful.",Negative
ORD200162,Chair,Pending,I was worried at first but the chair turned out to be really good.,Positive
ORD200163,Tablet,Cancelled,"The tablet was not good, arrived damaged and support was unhelpful.",Negative
ORD200164,Desk,Pending,"Excellent desk, would definitely buy again. Highly recommend!",Positive
ORD200165,Monitor,Returned,"Disappointed with the monitor, had to return it immediately.",Negative
ORD200166,Chair,Delivered,"Fast delivery and the chair feels premium, very satisfied.",Positive
ORD200167,Chair,Returned,The chair never worked properly from day one.,Negative
ORD200168,Printer,Returned,"Terrible experience, the printer stopped working within a week.",Negative
ORD200169,Printer,Delivered,"Excellent printer, would definitely buy again. Highly recommend!",Positive
ORD200170,Desk,Cancelled,"Awful build quality, would not recommend this desk to anyone.",Negative
ORD200171,Tablet,Delivered,"Excellent tablet, would definitely buy again. Highly recommend!",Positive
ORD200172,Printer,Delivered,"The printer exceeded my expectations, great quality and fast shipping!",Positive
ORD200173,Phone,Delivered,"The phone exceeded my expectations, great quality and fast shipping!",Positive
ORD200174,Printer,Delivered,"The printer is not what I expected, poor quality overall.",Negative
ORD200175,Chair,Pending,"Terrible experience, the chair stopped working within a week.",Negative
ORD200176,Tablet,Pending,"Best tablet I have bought this year, five stars.",Positive
ORD200177,Chair,Pending,The chair never worked properly from day one.,Negative
ORD200178,Chair,Delivered,"I am not happy with this chair, complete waste of money.",Negative
ORD200179,Laptop,Delivered,"The laptop is not what I expected, poor quality overall.",Negative
ORD200180,Tablet,Returned,"I am not happy with this tablet, complete waste of money.",Negative
ORD200181,Printer,Shipped,"The printer was not good, arrived damaged and support was unhelpful.",Negative
ORD200182,Desk,Pending,"Great value for money, the desk works flawlessly.",Positive
ORD200183,Monitor,Delivered,I was worried at first but the monitor turned out to be really good.,Positive
ORD200184,Tablet,Cancelled,"The tablet is not what I expected, poor quality overall.",Negative
ORD200185,Laptop,Shipped,"Absolutely love this laptop, works perfectly and arrived on time.",Positive
ORD200186,Phone,Pending,"The phone exceeded my expectations, great quality and fast shipping!",Positive
ORD200187,Chair,Returned,"The chair is not what I expected, poor quality overall.",Negative
ORD200188,Chair,Shipped,"Fast delivery and the chair feels premium, very satisfied.",Positive
ORD200189,Printer,Cancelled,"The printer is not what I expected, poor quality overall.",Negative
ORD200190,Printer,Returned,"The printer is not what I expected, poor quality overall.",Negative
ORD200191,Laptop,Cancelled,"Disappointed with the laptop, had to return it immediately.",Negative
ORD200192,Desk,Cancelled,"Disappointed with the desk, had to return it immediately.",Negative
ORD200193,Printer,Cancelled,"This printer is not worth the price, very disappointing.",Negative
ORD200194,Monitor,Shipped,"Best monitor I have bought this year, five stars.",Positive
ORD200195,Chair,Cancelled,"The chair was not good, arrived damaged and support was unhelpful.",Negative
ORD200196,Desk,Delivered,"Super happy with my desk purchase, no complaints so far.",Positive
ORD200197,Laptop,Returned,"Disappointed with the laptop, had to return it immediately.",Negative
ORD200198,Laptop,Cancelled,The laptop is not expensive but it does not feel cheap either. Loved it.,Positive
ORD200199,Phone,Returned,"Awful build quality, would not recommend this phone to anyone.",Negative
ORD200200,Tablet,Delivered,"Best tablet I have bought this year, five stars.",Positive
ORD200201,Monitor,Shipped,The monitor is not expensive but it does not feel cheap either. Loved it.,Positive
ORD200202,Monitor,Cancelled,"The monitor was not good, arrived damaged and support was unhelpful.",Negative
ORD200203,Printer,Shipped,"The printer exceeded my expectations, great quality and fast shipping!",Positive
ORD200204,Laptop,Cancelled,"This laptop is not worth the price, very disappointing.",Negative
ORD200205,Desk,Returned,"The desk is not what I expected, poor quality overall.",Negative
ORD200206,Laptop,Returned,"Terrible experience, the laptop stopped working within a week.",Negative
ORD200207,Phone,Delivered,"Awful build quality, would not recommend this phone to anyone.",Negative
ORD200208,Desk,Shipped,"Absolutely love this desk, works perfectly and arrived on time.",Positive
ORD200209,Tablet,Returned,"Disappointed with the tablet, had to return it immediately.",Negative
ORD200210,Chair,Delivered,I was worried at first but the chair turned out to be really good.,Positive
ORD200211,Printer,Pending,"Super happy with my printer purchase, no complaints so far.",Positive
ORD200212,Monitor,Cancelled,"The monitor is not what I expected, poor quality overall.",Negative
ORD200213,Laptop,Cancelled,The laptop never worked properly from day one.,Negative
ORD200214,Desk,Delivered,"Excellent desk, would definitely buy again. Highly recommend!",Positive
ORD200215,Printer,Shipped,"Super happy with my printer purchase, no complaints so far.",Positive
ORD200216,Monitor,Cancelled,"The monitor was not good, arrived damaged and support was unhelpful.",Negative
ORD200217,Desk,Returned,"The desk is not what I expected, poor quality overall.",Negative
ORD200218,Tablet,Shipped,The tablet is not expensive but it does not feel cheap either. Loved it.,Positive
ORD200219,Laptop,Delivered,"Great value for money, the laptop works flawlessly.",Positive
ORD200220,Laptop,Pending,"Fast delivery and the laptop feels premium, very satisfied.",Positive
ORD200221,Tablet,Pending,"This tablet is not worth the price, very disappointing.",Negative
ORD200222,Chair,Shipped,"Excellent chair, would definitely buy again. Highly recommend!",Positive
ORD200223,Phone,Pending,"Disappointed with the phone, had to return it immediately.",Negative
ORD200224,Printer,Cancelled,"Regret buying this printer, customer service was no help either.",Negative
ORD200225,Phone,Returned,"The phone is not what I expected, poor quality overall.",Negative
ORD200226,Desk,Delivered,"This desk is not bad at all, actually pretty amazing for the price.",Positive
ORD200227,Monitor,Cancelled,"I am not happy with this monitor, complete waste of money.",Negative
ORD200228,Chair,Cancelled,"This chair is not bad at all, actually pretty amazing for the price.",Positive
ORD200229,Tablet,Delivered,"Regret buying this tablet, customer service was no help either.",Negative
ORD200230,Desk,Delivered,"Absolutely love this desk, works perfectly and arrived on time.",Positive
ORD200231,Phone,Pending,The phone is not expensive but it does not feel cheap either. Loved it.,Positive
ORD200232,Printer,Cancelled,The printer never worked properly from day one.,Negative
ORD200233,Phone,Cancelled,"The phone is not what I expected, poor quality overall.",Negative
ORD200234,Printer,Pending,"The printer exceeded my expectations, great quality and fast shipping!",Positive
ORD200235,Desk,Pending,"Terrible experience, the desk stopped working within a week.",Negative
ORD200236,Monitor,Pending,"The monitor is not what I expected, poor quality overall.",Negative
ORD200237,Monitor,Shipped,"Best monitor I have bought this year, five stars.",Positive
ORD200238,Desk,Pending,"Best desk I have bought this year, five stars.",Positive
ORD200239,Tablet,Shipped,"Absolutely love this tablet, works perfectly and arrived on time.",Positive
ORD200240,Tablet,Pending,"Fast delivery and the tablet feels premium, very satisfied.",Positive
ORD200241,Chair,Pending,"This chair is not worth the price, very disappointing.",Negative
ORD200242,Printer,Pending,Shipping took forever and the printer was not even functional.,Negative
ORD200243,Chair,Cancelled,"This chair is not worth the price, very disappointing.",Negative
ORD200244,Desk,Cancelled,"This desk is not worth the price, very disappointing.",Negative
ORD200245,Laptop,Returned,"I am not happy with this laptop, complete waste of money.",Negative
ORD200246,Desk,Shipped,"Fast delivery and the desk feels premium, very satisfied.",Positive
ORD200247,Printer,Shipped,"This printer is not bad at all, actually pretty amazing for the price.",Positive
ORD200248,Laptop,Shipped,"Disappointed with the laptop, had to return it immediately.",Negative
ORD200249,Printer,Pending,"This printer is not worth the price, very disappointing.",Negative
ORD200250,Desk,Returned,"The desk is not what I expected, poor quality overall.",Negative
ORD200251,Monitor,Cancelled,"Terrible experience, the monitor stopped working within a week.",Negative
ORD200252,Phone,Cancelled,"The phone is not what I expected, poor quality overall.",Negative
ORD200253,Chair,Returned,"Awful build quality, would not recommend this chair to anyone.",Negative
ORD200254,Monitor,Delivered,"Terrible experience, the monitor stopped working within a week.",Negative
ORD200255,Monitor,Returned,"The monitor is not what I expected, poor quality overall.",Negative
ORD200256,Chair,Returned,"I am not happy with this chair, complete waste of money.",Negative
ORD200257,Phone,Cancelled,"Terrible experience, the phone stopped working within a week.",Negative
ORD200258,Tablet,Shipped,"Great value for money, the tablet works flawlessly.",Positive
ORD200259,Chair,Delivered,I was worried at first but the chair turned out to be really good.,Positive
ORD200260,Monitor,Shipped,I was worried at first but the monitor turned out to be really good.,Positive
ORD200261,Phone,Delivered,The phone is not expensive but it does not feel cheap either. Loved it.,Positive
ORD200262,Phone,Returned,"The phone was not good, arrived damaged and support was unhelpful.",Negative
ORD200263,Phone,Pending,"Regret buying this phone, customer service was no help either.",Negative
ORD200264,Tablet,Returned,"The tablet was not good, arrived damaged and support was unhelpful.",Negative
ORD200265,Printer,Cancelled,"Disappointed with the printer, had to return it immediately.",Negative
ORD200266,Chair,Cancelled,The chair never worked properly from day one.,Negative
ORD200267,Chair,Delivered,"Best chair I have bought this year, five stars.",Positive
ORD200268,Phone,Delivered,"This phone is not bad at all, actually pretty amazing for the price.",Positive
ORD200269,Tablet,Pending,"Super happy with my tablet purchase, no complaints so far.",Positive
ORD200270,Printer,Shipped,"The printer exceeded my expectations, great quality and fast shipping!",Positive
ORD200271,Monitor,Shipped,I was worried at first but the monitor turned out to be really good.,Positive
ORD200272,Chair,Pending,Shipping took forever and the chair was not even functional.,Negative
ORD200273,Tablet,Cancelled,"Regret buying this tablet, customer service was no help either.",Negative
ORD200274,Phone,Cancelled,The phone never worked properly from day one.,Negative
ORD200275,Chair,Cancelled,"The chair was not good, arrived damaged and support was unhelpful.",Negative
ORD200276,Printer,Returned,I was worried at first but the printer turned out to be really good.,Positive
ORD200277,Chair,Delivered,"Fast delivery and the chair feels premium, very satisfied.",Positive
ORD200278,Laptop,Delivered,"Super happy with my laptop purchase, no complaints so far.",Positive
ORD200279,Chair,Pending,"This chair is not bad at all, actually pretty amazing for the price.",Positive
ORD200280,Tablet,Delivered,"Great value for money, the tablet works flawlessly.",Positive
ORD200281,Desk,Pending,The desk never worked properly from day one.,Negative
ORD200282,Printer,Cancelled,The printer never worked properly from day one.,Negative
ORD200283,Laptop,Shipped,"Absolutely love this laptop, works perfectly and arrived on time.",Positive
ORD200284,Laptop,Returned,"This laptop is not worth the price, very disappointing.",Negative
ORD200285,Phone,Delivered,"Great value for money, the phone works flawlessly.",Positive
ORD200286,Monitor,Returned,"Terrible experience, the monitor stopped working within a week.",Negative
ORD200287,Chair,Shipped,"The chair was not good, arrived damaged and support was unhelpful.",Negative
ORD200288,Laptop,Returned,"The laptop is not what I expected, poor quality overall.",Negative
ORD200289,Chair,Shipped,"The chair exceeded my expectations, great quality and fast shipping!",Positive
ORD200290,Chair,Delivered,"This chair is not bad at all, actually pretty amazing for the price.",Positive
ORD200291,Phone,Delivered,"Absolutely love this phone, works perfectly and arrived on time.",Positive
ORD200292,Monitor,Delivered,"This monitor is not bad at all, actually pretty amazing for the price.",Positive
ORD200293,Tablet,Returned,"Disappointed with the tablet, had to return it immediately.",Negative
ORD200294,Phone,Shipped,"I am not happy with this phone, complete waste of money.",Negative
ORD200295,Printer,Cancelled,"Terrible experience, the printer stopped working within a week.",Negative
ORD200296,Desk,Cancelled,"I am not happy with this desk, complete waste of money.",Negative
ORD200297,Desk,Returned,"Terrible experience, the desk stopped working within a week.",Negative
ORD200298,Printer,Cancelled,"Disappointed with the printer, had to return it immediately.",Negative
ORD200299,Monitor,Cancelled,The monitor never worked properly from day one.,Negative
ORD200300,Phone,Returned,"The phone is not what I expected, poor quality overall.",Negative
ORD200301,Chair,Cancelled,"The chair is not what I expected, poor quality overall.",Negative
ORD200302,Chair,Pending,"Super happy with my chair purchase, no complaints so far.",Positive
ORD200303,Tablet,Returned,"Regret buying this tablet, customer service was no help either.",Negative
ORD200304,Monitor,Delivered,The monitor is not expensive but it does not feel cheap either. Loved it.,Positive
ORD200305,Laptop,Pending,"Awful build quality, would not recommend this laptop to anyone.",Negative
ORD200306,Printer,Returned,"Awful build quality, would not recommend this printer to anyone.",Negative
ORD200307,Laptop,Delivered,"Great value for money, the laptop works flawlessly.",Positive
ORD200308,Printer,Returned,I was worried at first but the printer turned out to be really good.,Positive
ORD200309,Chair,Delivered,"Absolutely love this chair, works perfectly and arrived on time.",Positive
ORD200310,Printer,Shipped,"Great value for money, the printer works flawlessly.",Positive
ORD200311,Desk,Returned,Shipping took forever and the desk was not even functional.,Negative
ORD200312,Printer,Pending,The printer never worked properly from day one.,Negative
ORD200313,Chair,Delivered,"Best chair I have bought this year, five stars.",Positive
ORD200314,Desk,Delivered,"Disappointed with the desk, had to return it immediately.",Negative
ORD200315,Tablet,Cancelled,"This tablet is not worth the price, very disappointing.",Negative
ORD200316,Desk,Shipped,Shipping took forever and the desk was not even functional.,Negative
ORD200317,Monitor,Returned,"Regret buying this monitor, customer service was no help either.",Negative
ORD200318,Chair,Cancelled,"The chair is not what I expected, poor quality overall.",Negative
ORD200319,Laptop,Returned,"Terrible experience, the laptop stopped working within a week.",Negative
ORD200320,Printer,Shipped,"Fast delivery and the printer feels premium, very satisfied.",Positive
ORD200321,Phone,Cancelled,Shipping took forever and the phone was not even functional.,Negative
ORD200322,Phone,Delivered,I was worried at first but the phone turned out to be really good.,Positive
ORD200323,Laptop,Returned,Shipping took forever and the laptop was not even functional.,Negative
ORD200324,Tablet,Returned,"I am not happy with this tablet, complete waste of money.",Negative
ORD200325,Desk,Shipped,"Great value for money, the desk works flawlessly.",Positive
ORD200326,Laptop,Returned,"Awful build quality, would not recommend this laptop to anyone.",Negative
ORD200327,Phone,Cancelled,"Regret buying this phone, customer service was no help either.",Negative
ORD200328,Tablet,Cancelled,"Disappointed with the tablet, had to return it immediately.",Negative
ORD200329,Chair,Shipped,"Best chair I have bought this year, five stars.",Positive
ORD200330,Desk,Pending,"Terrible experience, the desk stopped working within a week.",Negative
ORD200331,Printer,Delivered,I was worried at first but the printer turned out to be really good.,Positive
ORD200332,Desk,Pending,"This desk is not bad at all, actually pretty amazing for the price.",Positive
ORD200333,Phone,Returned,Shipping took forever and the phone was not even functional.,Negative
ORD200334,Chair,Delivered,"The chair exceeded my expectations, great quality and fast shipping!",Positive
ORD200335,Tablet,Shipped,"This tablet is not bad at all, actually pretty amazing for the price.",Positive
ORD200336,Laptop,Pending,"This laptop is not bad at all, actually pretty amazing for the price.",Positive
ORD200337,Tablet,Returned,"Regret buying this tablet, customer service was no help either.",Negative
ORD200338,Phone,Shipped,"Best phone I have bought this year, five stars.",Positive
ORD200339,Printer,Pending,The printer never worked properly from day one.,Negative
ORD200340,Laptop,Cancelled,"This laptop is not worth the price, very disappointing.",Negative
ORD200341,Tablet,Shipped,"Fast delivery and the tablet feels premium, very satisfied.",Positive
ORD200342,Monitor,Returned,"Disappointed with the monitor, had to return it immediately.",Negative
ORD200343,Printer,Pending,"This printer is not bad at all, actually pretty amazing for the price.",Positive
ORD200344,Tablet,Cancelled,"This tablet is not worth the price, very disappointing.",Negative
ORD200345,Tablet,Shipped,"I am not happy with this tablet, complete waste of money.",Negative
ORD200346,Tablet,Pending,"Fast delivery and the tablet feels premium, very satisfied.",Positive
ORD200347,Printer,Pending,The printer is not expensive but it does not feel cheap either. Loved it.,Positive
ORD200348,Laptop,Returned,"This laptop is not worth the price, very disappointing.",Negative
ORD200349,Chair,Delivered,"Absolutely love this chair, works perfectly and arrived on time.",Positive
